#Name (cmd = mergePeaks ./motif//bg.clean.pos ./motif//target.clean..pos -d 200 -cobound 1 -prefix ./motif//0.805857143904181.2.tmp)	chr	start	end	strand	stat	stat2	./motif//target.clean..pos
BGdKO-na_vs_Null_peak_16271	chr9	110034401	110034601	+	28.2	0.000	WT-na_vs_Null_peak_24877
BGdKO-na_vs_Null_peak_16272	chr9	110183719	110183919	+	48.7	0.000	WT-na_vs_Null_peak_24878
BGdKO-na_vs_Null_peak_16273	chr9	110235694	110235894	+	27.1	0.000	WT-na_vs_Null_peak_24880
BGdKO-na_vs_Null_peak_16274	chr9	110310699	110310899	+	18.7	0.000	WT-na_vs_Null_peak_24881
BGdKO-na_vs_Null_peak_16275	chr9	110378652	110378852	+	10.3	0.000	WT-na_vs_Null_peak_24886
BGdKO-na_vs_Null_peak_16276	chr9	110547830	110548030	+	13.8	0.000	WT-na_vs_Null_peak_24889
BGdKO-na_vs_Null_peak_16277	chr9	110558885	110559085	+	22.6	0.000	WT-na_vs_Null_peak_24890
BGdKO-na_vs_Null_peak_16278	chr9	110559229	110559429	+	31.6	0.000	WT-na_vs_Null_peak_24891
BGdKO-na_vs_Null_peak_16279	chr9	110612351	110612551	+	16.7	0.000	WT-na_vs_Null_peak_24892
BGdKO-na_vs_Null_peak_16280	chr9	110782620	110782820	+	10.3	0.000	WT-na_vs_Null_peak_24893
BGdKO-na_vs_Null_peak_16281	chr9	110799182	110799382	+	27.7	0.000	WT-na_vs_Null_peak_24895
BGdKO-na_vs_Null_peak_16282	chr9	110810091	110810291	+	24.3	0.000	WT-na_vs_Null_peak_24896
BGdKO-na_vs_Null_peak_16284	chr9	110849268	110849468	+	38.7	0.000	WT-na_vs_Null_peak_24898
BGdKO-na_vs_Null_peak_16285	chr9	110897215	110897415	+	21.7	0.000	WT-na_vs_Null_peak_24899
BGdKO-na_vs_Null_peak_16286	chr9	110899844	110900044	+	19.7	0.000	WT-na_vs_Null_peak_24900
BGdKO-na_vs_Null_peak_16288	chr9	111174037	111174237	+	70.6	0.000	WT-na_vs_Null_peak_24903
BGdKO-na_vs_Null_peak_16289	chr9	113615396	113615596	+	20.5	0.000	WT-na_vs_Null_peak_24907
BGdKO-na_vs_Null_peak_16290	chr9	113721075	113721275	+	10.3	0.000	WT-na_vs_Null_peak_24912
BGdKO-na_vs_Null_peak_16291	chr9	113839825	113840025	+	43.8	0.000	WT-na_vs_Null_peak_24913
BGdKO-na_vs_Null_peak_16292	chr9	114310024	114310224	+	13.8	0.000	WT-na_vs_Null_peak_24914
BGdKO-na_vs_Null_peak_16294	chr9	114349868	114350068	+	18.0	0.000	WT-na_vs_Null_peak_24916
BGdKO-na_vs_Null_peak_16295	chr9	114352675	114352875	+	12.9	0.000	WT-na_vs_Null_peak_24917
BGdKO-na_vs_Null_peak_16296	chr9	114419060	114419260	+	7.82	0.000	WT-na_vs_Null_peak_24920
BGdKO-na_vs_Null_peak_16298	chr9	114549140	114549340	+	37.6	0.000	WT-na_vs_Null_peak_24921
BGdKO-na_vs_Null_peak_16299	chr9	114597709	114597909	+	13.8	0.000	WT-na_vs_Null_peak_24922
BGdKO-na_vs_Null_peak_16300	chr9	114640097	114640297	+	21.1	0.000	WT-na_vs_Null_peak_24923
BGdKO-na_vs_Null_peak_16301	chr9	114651975	114652175	+	5.59	0.000	WT-na_vs_Null_peak_24925
BGdKO-na_vs_Null_peak_16302	chr9	114661982	114662182	+	22.8	0.000	WT-na_vs_Null_peak_24926
BGdKO-na_vs_Null_peak_16303	chr9	114857532	114857732	+	6.31	0.000	WT-na_vs_Null_peak_24929
BGdKO-na_vs_Null_peak_16304	chr9	115219604	115219804	+	18.5	0.000	WT-na_vs_Null_peak_24931
BGdKO-na_vs_Null_peak_16305	chr9	115259895	115260095	+	794.0	0.000	WT-na_vs_Null_peak_24932
BGdKO-na_vs_Null_peak_16306	chr9	115470522	115470722	+	21.5	0.000	WT-na_vs_Null_peak_24938
BGdKO-na_vs_Null_peak_16307	chr9	115520956	115521156	+	17.9	0.000	WT-na_vs_Null_peak_24939
BGdKO-na_vs_Null_peak_16309	chr9	115533116	115533316	+	27.1	0.000	WT-na_vs_Null_peak_24940
BGdKO-na_vs_Null_peak_16310	chr9	115888349	115888549	+	10.3	0.000	WT-na_vs_Null_peak_24943
BGdKO-na_vs_Null_peak_16311	chr9	115993583	115993783	+	28.2	0.000	WT-na_vs_Null_peak_24945
BGdKO-na_vs_Null_peak_16312	chr9	116023532	116023732	+	37.6	0.000	WT-na_vs_Null_peak_24947
BGdKO-na_vs_Null_peak_16313	chr9	116032369	116032569	+	6.31	0.000	WT-na_vs_Null_peak_24948
BGdKO-na_vs_Null_peak_16314	chr9	116054403	116054603	+	12.8	0.000	WT-na_vs_Null_peak_24949
BGdKO-na_vs_Null_peak_16315	chr9	116070219	116070419	+	9.04	0.000	WT-na_vs_Null_peak_24950
BGdKO-na_vs_Null_peak_16316	chr9	116084278	116084478	+	18.6	0.000	WT-na_vs_Null_peak_24952
BGdKO-na_vs_Null_peak_16317	chr9	116084989	116085189	+	14.2	0.000	WT-na_vs_Null_peak_24953
BGdKO-na_vs_Null_peak_16318	chr9	116090916	116091116	+	11.1	0.000	WT-na_vs_Null_peak_24954
BGdKO-na_vs_Null_peak_16319	chr9	116098142	116098342	+	27.9	0.000	WT-na_vs_Null_peak_24957
BGdKO-na_vs_Null_peak_16320	chr9	116121207	116121407	+	7.82	0.000	WT-na_vs_Null_peak_24958
BGdKO-na_vs_Null_peak_16321	chr9	116238340	116238540	+	16.7	0.000	WT-na_vs_Null_peak_24963
BGdKO-na_vs_Null_peak_16322	chr9	116247547	116247747	+	30.1	0.000	WT-na_vs_Null_peak_24964
BGdKO-na_vs_Null_peak_16323	chr9	116250182	116250382	+	15.8	0.000	WT-na_vs_Null_peak_24965
BGdKO-na_vs_Null_peak_16324	chr9	116275435	116275635	+	25.5	0.000	WT-na_vs_Null_peak_24966
BGdKO-na_vs_Null_peak_16325	chr9	116278164	116278364	+	34.4	0.000	WT-na_vs_Null_peak_24967
BGdKO-na_vs_Null_peak_16327	chr9	116293429	116293629	+	91.7	0.000	WT-na_vs_Null_peak_24968
BGdKO-na_vs_Null_peak_16328	chr9	116746894	116747094	+	9.43	0.000	WT-na_vs_Null_peak_24970
BGdKO-na_vs_Null_peak_16329	chr9	117801883	117802083	+	11.1	0.000	WT-na_vs_Null_peak_24971
BGdKO-na_vs_Null_peak_16330	chr9	117811503	117811703	+	18.7	0.000	WT-na_vs_Null_peak_24972
BGdKO-na_vs_Null_peak_16332	chr9	117949860	117950060	+	20.6	0.000	WT-na_vs_Null_peak_24975
BGdKO-na_vs_Null_peak_16334	chr9	118266631	118266831	+	18.7	0.000	WT-na_vs_Null_peak_24980
BGdKO-na_vs_Null_peak_16335	chr9	118283890	118284090	+	10.3	0.000	WT-na_vs_Null_peak_24981
BGdKO-na_vs_Null_peak_16336	chr9	118299808	118300008	+	9.43	0.000	WT-na_vs_Null_peak_24982
BGdKO-na_vs_Null_peak_16337	chr9	118625109	118625309	+	8.61	0.000	WT-na_vs_Null_peak_24987
BGdKO-na_vs_Null_peak_16338	chr9	118834498	118834698	+	8.61	0.000	WT-na_vs_Null_peak_24989
BGdKO-na_vs_Null_peak_16339	chr9	119231855	119232055	+	30.7	0.000	WT-na_vs_Null_peak_24991
BGdKO-na_vs_Null_peak_16340	chr9	119250438	119250638	+	47.5	0.000	WT-na_vs_Null_peak_24992
BGdKO-na_vs_Null_peak_16341	chr9	119653124	119653324	+	28.2	0.000	WT-na_vs_Null_peak_24995
BGdKO-na_vs_Null_peak_16342	chr9	119803808	119804008	+	24.9	0.000	WT-na_vs_Null_peak_24996
BGdKO-na_vs_Null_peak_16343	chr9	119847688	119847888	+	17.7	0.000	WT-na_vs_Null_peak_24998
BGdKO-na_vs_Null_peak_16344	chr9	119891621	119891821	+	13.6	0.000	WT-na_vs_Null_peak_24999
BGdKO-na_vs_Null_peak_16345	chr9	119920303	119920503	+	17.7	0.000	WT-na_vs_Null_peak_25001
BGdKO-na_vs_Null_peak_16346	chr9	119937144	119937344	+	17.7	0.000	WT-na_vs_Null_peak_25003
BGdKO-na_vs_Null_peak_16347	chr9	119939639	119939839	+	18.2	0.000	WT-na_vs_Null_peak_25004
BGdKO-na_vs_Null_peak_16348	chr9	119964083	119964283	+	13.8	0.000	WT-na_vs_Null_peak_25005
BGdKO-na_vs_Null_peak_16350	chr9	120019317	120019517	+	14.8	0.000	WT-na_vs_Null_peak_25008
BGdKO-na_vs_Null_peak_16351	chr9	120036707	120036907	+	23.9	0.000	WT-na_vs_Null_peak_25010
BGdKO-na_vs_Null_peak_16353	chr9	120196499	120196699	+	12.0	0.000	WT-na_vs_Null_peak_25011
BGdKO-na_vs_Null_peak_16354	chr9	120249166	120249366	+	54.3	0.000	WT-na_vs_Null_peak_25012
BGdKO-na_vs_Null_peak_16355	chr9	120480477	120480677	+	24.9	0.000	WT-na_vs_Null_peak_25016
BGdKO-na_vs_Null_peak_16356	chr9	120486236	120486436	+	48.7	0.000	WT-na_vs_Null_peak_25017
BGdKO-na_vs_Null_peak_16357	chr9	120491788	120491988	+	26.5	0.000	WT-na_vs_Null_peak_25018
BGdKO-na_vs_Null_peak_16358	chr9	120500705	120500905	+	10.3	0.000	WT-na_vs_Null_peak_25020
BGdKO-na_vs_Null_peak_16359	chr9	120601240	120601440	+	12.0	0.000	WT-na_vs_Null_peak_25022
BGdKO-na_vs_Null_peak_16360	chr9	120637546	120637746	+	7.05	0.000	WT-na_vs_Null_peak_25023
BGdKO-na_vs_Null_peak_16361	chr9	120685870	120686070	+	18.7	0.000	WT-na_vs_Null_peak_25025
BGdKO-na_vs_Null_peak_16362	chr9	120775939	120776139	+	10.3	0.000	WT-na_vs_Null_peak_25027
BGdKO-na_vs_Null_peak_16363	chr9	120824334	120824534	+	17.7	0.000	WT-na_vs_Null_peak_25028
BGdKO-na_vs_Null_peak_16364	chr9	120842380	120842580	+	10.3	0.000	WT-na_vs_Null_peak_25029
BGdKO-na_vs_Null_peak_16366	chr9	121136093	121136293	+	11.1	0.000	WT-na_vs_Null_peak_25031
BGdKO-na_vs_Null_peak_16369	chr9	121186669	121186869	+	11.1	0.000	WT-na_vs_Null_peak_25034
BGdKO-na_vs_Null_peak_16370	chr9	121364192	121364392	+	21.7	0.000	WT-na_vs_Null_peak_25038
BGdKO-na_vs_Null_peak_16371	chr9	121584151	121584351	+	27.3	0.000	WT-na_vs_Null_peak_25041
BGdKO-na_vs_Null_peak_16372	chr9	121606810	121607010	+	12.0	0.000	WT-na_vs_Null_peak_25044
BGdKO-na_vs_Null_peak_16373	chr9	121619286	121619486	+	31.6	0.000	WT-na_vs_Null_peak_25045
BGdKO-na_vs_Null_peak_16374	chr9	121628004	121628204	+	16.3	0.000	WT-na_vs_Null_peak_25046
BGdKO-na_vs_Null_peak_16375	chr9	121766684	121766884	+	12.0	0.000	WT-na_vs_Null_peak_25048
BGdKO-na_vs_Null_peak_16377	chr9	121839027	121839227	+	11.1	0.000	WT-na_vs_Null_peak_25050
BGdKO-na_vs_Null_peak_16378	chr9	121977336	121977536	+	14.8	0.000	WT-na_vs_Null_peak_25052
BGdKO-na_vs_Null_peak_16379	chr9	122097921	122098121	+	23.6	0.000	WT-na_vs_Null_peak_25055
BGdKO-na_vs_Null_peak_16380	chr9	122203733	122203933	+	21.6	0.000	WT-na_vs_Null_peak_25058
BGdKO-na_vs_Null_peak_16381	chr9	122219727	122219927	+	22.8	0.000	WT-na_vs_Null_peak_25059
BGdKO-na_vs_Null_peak_16382	chr9	122260783	122260983	+	16.7	0.000	WT-na_vs_Null_peak_25060
BGdKO-na_vs_Null_peak_16384	chr9	122714663	122714863	+	13.8	0.000	WT-na_vs_Null_peak_25061
BGdKO-na_vs_Null_peak_16385	chr9	122795786	122795986	+	10.3	0.000	WT-na_vs_Null_peak_25063
BGdKO-na_vs_Null_peak_16387	chr9	122860046	122860246	+	29.4	0.000	WT-na_vs_Null_peak_25064
BGdKO-na_vs_Null_peak_16388	chr9	122930081	122930281	+	9.43	0.000	WT-na_vs_Null_peak_25065
BGdKO-na_vs_Null_peak_16389	chr9	122967894	122968094	+	29.4	0.000	WT-na_vs_Null_peak_25066
BGdKO-na_vs_Null_peak_16390	chr9	123275944	123276144	+	14.8	0.000	WT-na_vs_Null_peak_25069
BGdKO-na_vs_Null_peak_16391	chr9	123371012	123371212	+	298.7	0.000	WT-na_vs_Null_peak_25070
BGdKO-na_vs_Null_peak_16392	chr9	123419102	123419302	+	30.0	0.000	WT-na_vs_Null_peak_25073
BGdKO-na_vs_Null_peak_16393	chr9	123428402	123428602	+	12.9	0.000	WT-na_vs_Null_peak_25074
BGdKO-na_vs_Null_peak_16394	chr9	123438561	123438761	+	56.0	0.000	WT-na_vs_Null_peak_25075
BGdKO-na_vs_Null_peak_16395	chr9	123626655	123626855	+	44.3	0.000	WT-na_vs_Null_peak_25076
BGdKO-na_vs_Null_peak_16396	chr9	123663526	123663726	+	26.8	0.000	WT-na_vs_Null_peak_25077
BGdKO-na_vs_Null_peak_16397	chr9	123665963	123666163	+	21.6	0.000	WT-na_vs_Null_peak_25078
BGdKO-na_vs_Null_peak_16398	chr9	123672929	123673129	+	11.2	0.000	WT-na_vs_Null_peak_25079
BGdKO-na_vs_Null_peak_16399	chr9	123715504	123715704	+	15.7	0.000	WT-na_vs_Null_peak_25080
BGdKO-na_vs_Null_peak_16400	chr9	123720979	123721179	+	8.50	0.000	WT-na_vs_Null_peak_25081
BGdKO-na_vs_Null_peak_16401	chr9	123723600	123723800	+	51.3	0.000	WT-na_vs_Null_peak_25082
BGdKO-na_vs_Null_peak_16402	chr9	123761006	123761206	+	80.3	0.000	WT-na_vs_Null_peak_25084
BGdKO-na_vs_Null_peak_16403	chr9	123781371	123781571	+	24.5	0.000	WT-na_vs_Null_peak_25085
BGdKO-na_vs_Null_peak_16404	chr9	123782166	123782366	+	384.2	0.000	WT-na_vs_Null_peak_25086
BGdKO-na_vs_Null_peak_16405	chr9	123832830	123833030	+	15.7	0.000	WT-na_vs_Null_peak_25087
BGdKO-na_vs_Null_peak_16406	chr9	123836538	123836738	+	11.7	0.000	WT-na_vs_Null_peak_25088
BGdKO-na_vs_Null_peak_16407	chr9	123839792	123839992	+	14.2	0.000	WT-na_vs_Null_peak_25089
BGdKO-na_vs_Null_peak_16408	chr9	123848898	123849098	+	12.9	0.000	WT-na_vs_Null_peak_25091
BGdKO-na_vs_Null_peak_16409	chr9	123983220	123983420	+	27.1	0.000	WT-na_vs_Null_peak_25092
BGdKO-na_vs_Null_peak_16410	chrM	126	326	+	342.7	0.000	WT-na_vs_Null_peak_25094
BGdKO-na_vs_Null_peak_16411	chrM	556	756	+	213.7	0.000	WT-na_vs_Null_peak_25095
BGdKO-na_vs_Null_peak_16412	chrM	1307	1507	+	70.3	0.000	WT-na_vs_Null_peak_25097
BGdKO-na_vs_Null_peak_16413	chrM	1886	2086	+	182.9	0.000	WT-na_vs_Null_peak_25098
BGdKO-na_vs_Null_peak_16415	chrM	3239	3439	+	250.9	0.000	WT-na_vs_Null_peak_25100
BGdKO-na_vs_Null_peak_16416	chrM	4147	4347	+	110.6	0.000	WT-na_vs_Null_peak_25101
BGdKO-na_vs_Null_peak_16417	chrM	4837	5037	+	123.1	0.000	WT-na_vs_Null_peak_25102
BGdKO-na_vs_Null_peak_16418	chrM	5314	5514	+	97.6	0.000	WT-na_vs_Null_peak_25103
BGdKO-na_vs_Null_peak_16419	chrM	5837	6037	+	116.5	0.000	WT-na_vs_Null_peak_25104
BGdKO-na_vs_Null_peak_16420	chrM	6176	6376	+	47.9	0.000	WT-na_vs_Null_peak_25105
BGdKO-na_vs_Null_peak_16421	chrM	7439	7639	+	39.7	0.000	WT-na_vs_Null_peak_25106
BGdKO-na_vs_Null_peak_16422	chrM	11063	11263	+	166.1	0.000	WT-na_vs_Null_peak_25108
BGdKO-na_vs_Null_peak_16423	chrM	12331	12531	+	198.4	0.000	WT-na_vs_Null_peak_25109
BGdKO-na_vs_Null_peak_16424	chrM	13310	13510	+	123.6	0.000	WT-na_vs_Null_peak_25110
BGdKO-na_vs_Null_peak_16425	chrM	13553	13753	+	151.1	0.000	WT-na_vs_Null_peak_25111
BGdKO-na_vs_Null_peak_16426	chrM	14619	14819	+	243.0	0.000	WT-na_vs_Null_peak_25112
BGdKO-na_vs_Null_peak_16428	chrM	15631	15831	+	289.4	0.000	WT-na_vs_Null_peak_25113
BGdKO-na_vs_Null_peak_16429	chrX	3086137	3086337	+	7.12	0.000	WT-na_vs_Null_peak_25115
BGdKO-na_vs_Null_peak_16431	chrX	3222899	3223099	+	11.4	0.000	WT-na_vs_Null_peak_25116
BGdKO-na_vs_Null_peak_16434	chrX	4261194	4261394	+	6.07	0.000	WT-na_vs_Null_peak_25120
BGdKO-na_vs_Null_peak_16435	chrX	4267247	4267447	+	7.71	0.000	WT-na_vs_Null_peak_25121
BGdKO-na_vs_Null_peak_16436	chrX	4267632	4267832	+	8.15	0.000	WT-na_vs_Null_peak_25122
BGdKO-na_vs_Null_peak_16438	chrX	4658682	4658882	+	10.3	0.000	WT-na_vs_Null_peak_25126,WT-na_vs_Null_peak_25127
BGdKO-na_vs_Null_peak_16439	chrX	4658871	4659071	+	12.5	0.000	WT-na_vs_Null_peak_25127
BGdKO-na_vs_Null_peak_16440	chrX	4666195	4666395	+	6.06	0.000	WT-na_vs_Null_peak_25129
BGdKO-na_vs_Null_peak_16442	chrX	4678812	4679012	+	7.98	0.000	WT-na_vs_Null_peak_25131
BGdKO-na_vs_Null_peak_16444	chrX	4752540	4752740	+	9.93	0.000	WT-na_vs_Null_peak_25132
BGdKO-na_vs_Null_peak_16446	chrX	4780963	4781163	+	11.2	0.000	WT-na_vs_Null_peak_25133
BGdKO-na_vs_Null_peak_16447	chrX	4781424	4781624	+	15.8	0.000	WT-na_vs_Null_peak_25134
BGdKO-na_vs_Null_peak_16448	chrX	4782234	4782434	+	17.7	0.000	WT-na_vs_Null_peak_25135
BGdKO-na_vs_Null_peak_16450	chrX	4800128	4800328	+	13.7	0.000	WT-na_vs_Null_peak_25137
BGdKO-na_vs_Null_peak_16451	chrX	6896412	6896612	+	10.3	0.000	WT-na_vs_Null_peak_25140
BGdKO-na_vs_Null_peak_16452	chrX	6998269	6998469	+	12.9	0.000	WT-na_vs_Null_peak_25141
BGdKO-na_vs_Null_peak_16453	chrX	7147960	7148160	+	14.1	0.000	WT-na_vs_Null_peak_25143
BGdKO-na_vs_Null_peak_16454	chrX	7151483	7151683	+	7.48	0.000	WT-na_vs_Null_peak_25145
BGdKO-na_vs_Null_peak_16455	chrX	7151842	7152042	+	15.6	0.000	WT-na_vs_Null_peak_25146
BGdKO-na_vs_Null_peak_16456	chrX	7226084	7226284	+	29.5	0.000	WT-na_vs_Null_peak_25150
BGdKO-na_vs_Null_peak_16457	chrX	7256951	7257151	+	14.8	0.000	WT-na_vs_Null_peak_25151
BGdKO-na_vs_Null_peak_16458	chrX	7274125	7274325	+	11.1	0.000	WT-na_vs_Null_peak_25152
BGdKO-na_vs_Null_peak_16459	chrX	7291260	7291460	+	8.61	0.000	WT-na_vs_Null_peak_25153
BGdKO-na_vs_Null_peak_16460	chrX	7291630	7291830	+	17.7	0.000	WT-na_vs_Null_peak_25154
BGdKO-na_vs_Null_peak_16461	chrX	7339641	7339841	+	10.3	0.000	WT-na_vs_Null_peak_25156
BGdKO-na_vs_Null_peak_16462	chrX	7418288	7418488	+	19.6	0.000	WT-na_vs_Null_peak_25157
BGdKO-na_vs_Null_peak_16463	chrX	7418748	7418948	+	20.7	0.000	WT-na_vs_Null_peak_25158
BGdKO-na_vs_Null_peak_16464	chrX	7442610	7442810	+	5.59	0.000	WT-na_vs_Null_peak_25159
BGdKO-na_vs_Null_peak_16465	chrX	7455211	7455411	+	21.3	0.000	WT-na_vs_Null_peak_25160
BGdKO-na_vs_Null_peak_16466	chrX	7476330	7476530	+	22.8	0.000	WT-na_vs_Null_peak_25162
BGdKO-na_vs_Null_peak_16467	chrX	7525026	7525226	+	12.9	0.000	WT-na_vs_Null_peak_25163
BGdKO-na_vs_Null_peak_16468	chrX	7651640	7651840	+	26.8	0.000	WT-na_vs_Null_peak_25164
BGdKO-na_vs_Null_peak_16469	chrX	7673533	7673733	+	9.43	0.000	WT-na_vs_Null_peak_25166
BGdKO-na_vs_Null_peak_16470	chrX	7674064	7674264	+	24.9	0.000	WT-na_vs_Null_peak_25167
BGdKO-na_vs_Null_peak_16471	chrX	7709171	7709371	+	15.7	0.000	WT-na_vs_Null_peak_25168
BGdKO-na_vs_Null_peak_16473	chrX	7722866	7723066	+	10.3	0.000	WT-na_vs_Null_peak_25170
BGdKO-na_vs_Null_peak_16474	chrX	7769975	7770175	+	15.7	0.000	WT-na_vs_Null_peak_25172
BGdKO-na_vs_Null_peak_16476	chrX	7829754	7829954	+	26.0	0.000	WT-na_vs_Null_peak_25173
BGdKO-na_vs_Null_peak_16478	chrX	10722123	10722323	+	11.1	0.000	WT-na_vs_Null_peak_25177
BGdKO-na_vs_Null_peak_16480	chrX	12164757	12164957	+	37.4	0.000	WT-na_vs_Null_peak_25187
BGdKO-na_vs_Null_peak_16481	chrX	12250624	12250824	+	21.7	0.000	WT-na_vs_Null_peak_25188
BGdKO-na_vs_Null_peak_16482	chrX	12339409	12339609	+	12.0	0.000	WT-na_vs_Null_peak_25189
BGdKO-na_vs_Null_peak_16483	chrX	12618885	12619085	+	23.9	0.000	WT-na_vs_Null_peak_25190
BGdKO-na_vs_Null_peak_16484	chrX	12807881	12808081	+	27.1	0.000	WT-na_vs_Null_peak_25192
BGdKO-na_vs_Null_peak_16485	chrX	12924138	12924338	+	6.31	0.000	WT-na_vs_Null_peak_25194
BGdKO-na_vs_Null_peak_16487	chrX	13038729	13038929	+	11.1	0.000	WT-na_vs_Null_peak_25196
BGdKO-na_vs_Null_peak_16490	chrX	16195635	16195835	+	11.1	0.000	WT-na_vs_Null_peak_25200
BGdKO-na_vs_Null_peak_16491	chrX	17149380	17149580	+	21.3	0.000	WT-na_vs_Null_peak_25202
BGdKO-na_vs_Null_peak_16492	chrX	17739592	17739792	+	48.4	0.000	WT-na_vs_Null_peak_25204
BGdKO-na_vs_Null_peak_16494	chrX	17831976	17832176	+	26.0	0.000	WT-na_vs_Null_peak_25205
BGdKO-na_vs_Null_peak_16497	chrX	19941563	19941763	+	14.8	0.000	WT-na_vs_Null_peak_25209
BGdKO-na_vs_Null_peak_16498	chrX	19949976	19950176	+	27.1	0.000	WT-na_vs_Null_peak_25210
BGdKO-na_vs_Null_peak_16500	chrX	20235417	20235617	+	21.2	0.000	WT-na_vs_Null_peak_25214
BGdKO-na_vs_Null_peak_16501	chrX	20239817	20240017	+	29.2	0.000	WT-na_vs_Null_peak_25215
BGdKO-na_vs_Null_peak_16502	chrX	20264891	20265091	+	30.4	0.000	WT-na_vs_Null_peak_25216
BGdKO-na_vs_Null_peak_16503	chrX	20375412	20375612	+	9.43	0.000	WT-na_vs_Null_peak_25220
BGdKO-na_vs_Null_peak_16504	chrX	20425504	20425704	+	17.5	0.000	WT-na_vs_Null_peak_25222
BGdKO-na_vs_Null_peak_16505	chrX	20527639	20527839	+	12.9	0.000	WT-na_vs_Null_peak_25224
BGdKO-na_vs_Null_peak_16506	chrX	20539082	20539282	+	12.0	0.000	WT-na_vs_Null_peak_25226
BGdKO-na_vs_Null_peak_16507	chrX	20639099	20639299	+	9.43	0.000	WT-na_vs_Null_peak_25227
BGdKO-na_vs_Null_peak_16509	chrX	23269884	23270084	+	19.4	0.000	WT-na_vs_Null_peak_25228
BGdKO-na_vs_Null_peak_16512	chrX	26017211	26017411	+	10.3	0.000	WT-na_vs_Null_peak_25230
BGdKO-na_vs_Null_peak_16522	chrX	32099620	32099820	+	6.64	0.000	WT-na_vs_Null_peak_25239
BGdKO-na_vs_Null_peak_16526	chrX	34347962	34348162	+	12.0	0.000	WT-na_vs_Null_peak_25248
BGdKO-na_vs_Null_peak_16527	chrX	34404160	34404360	+	21.7	0.000	WT-na_vs_Null_peak_25249
BGdKO-na_vs_Null_peak_16528	chrX	34443425	34443625	+	28.2	0.000	WT-na_vs_Null_peak_25250
BGdKO-na_vs_Null_peak_16529	chrX	34520938	34521138	+	14.0	0.000	WT-na_vs_Null_peak_25251
BGdKO-na_vs_Null_peak_16530	chrX	34529469	34529669	+	11.6	0.000	WT-na_vs_Null_peak_25252
BGdKO-na_vs_Null_peak_16531	chrX	34614627	34614827	+	16.7	0.000	WT-na_vs_Null_peak_25253
BGdKO-na_vs_Null_peak_16532	chrX	34625449	34625649	+	27.1	0.000	WT-na_vs_Null_peak_25254
BGdKO-na_vs_Null_peak_16533	chrX	34650387	34650587	+	27.1	0.000	WT-na_vs_Null_peak_25255
BGdKO-na_vs_Null_peak_16534	chrX	34670457	34670657	+	38.7	0.000	WT-na_vs_Null_peak_25257
BGdKO-na_vs_Null_peak_16535	chrX	35533322	35533522	+	13.8	0.000	WT-na_vs_Null_peak_25260
BGdKO-na_vs_Null_peak_16536	chrX	35542810	35543010	+	10.3	0.000	WT-na_vs_Null_peak_25261
BGdKO-na_vs_Null_peak_16537	chrX	35809587	35809787	+	7.05	0.000	WT-na_vs_Null_peak_25262
BGdKO-na_vs_Null_peak_16538	chrX	35917755	35917955	+	9.43	0.000	WT-na_vs_Null_peak_25263
BGdKO-na_vs_Null_peak_16539	chrX	35953682	35953882	+	19.7	0.000	WT-na_vs_Null_peak_25264
BGdKO-na_vs_Null_peak_16540	chrX	35988369	35988569	+	14.8	0.000	WT-na_vs_Null_peak_25265
BGdKO-na_vs_Null_peak_16541	chrX	39265080	39265280	+	18.7	0.000	WT-na_vs_Null_peak_25270
BGdKO-na_vs_Null_peak_16542	chrX	39502157	39502357	+	13.0	0.000	WT-na_vs_Null_peak_25272
BGdKO-na_vs_Null_peak_16543	chrX	39505253	39505453	+	16.6	0.000	WT-na_vs_Null_peak_25273
BGdKO-na_vs_Null_peak_16544	chrX	39696709	39696909	+	16.7	0.000	WT-na_vs_Null_peak_25275
BGdKO-na_vs_Null_peak_16545	chrX	39893987	39894187	+	23.9	0.000	WT-na_vs_Null_peak_25278
BGdKO-na_vs_Null_peak_16546	chrX	45451740	45451940	+	11.1	0.000	WT-na_vs_Null_peak_25284
BGdKO-na_vs_Null_peak_16547	chrX	45490127	45490327	+	13.3	0.000	WT-na_vs_Null_peak_25285
BGdKO-na_vs_Null_peak_16548	chrX	45494681	45494881	+	12.9	0.000	WT-na_vs_Null_peak_25286
BGdKO-na_vs_Null_peak_16549	chrX	45561735	45561935	+	18.7	0.000	WT-na_vs_Null_peak_25290
BGdKO-na_vs_Null_peak_16550	chrX	45587714	45587914	+	12.0	0.000	WT-na_vs_Null_peak_25291
BGdKO-na_vs_Null_peak_16551	chrX	45609923	45610123	+	51.6	0.000	WT-na_vs_Null_peak_25292
BGdKO-na_vs_Null_peak_16552	chrX	45667834	45668034	+	7.82	0.000	WT-na_vs_Null_peak_25293
BGdKO-na_vs_Null_peak_16553	chrX	45671416	45671616	+	10.3	0.000	WT-na_vs_Null_peak_25294
BGdKO-na_vs_Null_peak_16554	chrX	45696692	45696892	+	14.8	0.000	WT-na_vs_Null_peak_25295
BGdKO-na_vs_Null_peak_16555	chrX	45777813	45778013	+	18.7	0.000	WT-na_vs_Null_peak_25297
BGdKO-na_vs_Null_peak_16556	chrX	45786759	45786959	+	12.7	0.000	WT-na_vs_Null_peak_25298
BGdKO-na_vs_Null_peak_16557	chrX	45807352	45807552	+	15.7	0.000	WT-na_vs_Null_peak_25299
